,Global Epoch,Global Train accuracy,Global Test accuracy,Global Train loss,Global similarity
0,0,0.10507362355953906,0.106,2.4086558061738934,0.0
1,1,0.2821903008962868,0.2938,1.898301106714256,0.2938
2,2,0.3692781690140845,0.3913,1.6716266169896046,0.3913
3,3,0.4262363956466069,0.4585,1.54289609094588,0.4585
4,4,0.4799535851472471,0.5171,1.430668671060921,0.5171
5,5,0.5110635403329066,0.5467,1.35520997212272,0.5467
6,6,0.5217869718309859,0.555,1.3398959870222436,0.555
7,7,0.5423935659411011,0.5712,1.267620056142575,0.5712
8,8,0.5647407170294494,0.5955,1.2200646287500476,0.5955
9,9,0.5646206786171575,0.5929,1.2182722232863783,0.5929
10,10,0.5757642445582587,0.6008,1.1899844763678868,0.6008
11,11,0.5820862676056338,0.6052,1.1672265275492406,0.6052
12,12,0.5937900128040973,0.6111,1.1500763510772423,0.6111
13,13,0.5996118758002561,0.6168,1.1264655043617864,0.6168
14,14,0.5917293533930857,0.6107,1.1363028987727,0.6107
15,15,0.6085747439180538,0.6216,1.10084779604449,0.6216
16,16,0.6038532330345711,0.6162,1.1263892334646208,0.6162
17,17,0.6084547055057619,0.6248,1.0964501253621373,0.6248
18,18,0.6170974711907811,0.6276,1.0899221314816103,0.6276
19,19,0.6234995198463509,0.6326,1.0600376922098225,0.6326
20,20,0.6216189180537772,0.6333,1.0736328796906904,0.6333
21,21,0.6186379641485276,0.6292,1.0785420959035505,0.6292
22,22,0.6188580345710627,0.6262,1.0767973232513506,0.6262
23,23,0.6267805697823303,0.6344,1.0547216546825502,0.6344
24,24,0.6256802176696543,0.633,1.0507295784968573,0.633
25,25,0.6297215108834827,0.6354,1.0442133119255876,0.6354
26,26,0.6314020486555698,0.6411,1.042014312499922,0.6411
27,27,0.6351232394366197,0.6425,1.0252177038357597,0.6425
28,28,0.6383842829705506,0.6414,1.0206749291945054,0.6414
29,29,0.6330825864276568,0.6444,1.0328104921095502,0.6444
30,30,0.642485595390525,0.6466,1.01126004288047,0.6466
31,31,0.6382242317541613,0.641,1.0194796181824082,0.641
32,32,0.6330225672215108,0.638,1.0341432019781975,0.638
33,33,0.6394446222791293,0.64,1.023538019531973,0.64
34,34,0.6361635723431498,0.642,1.0224028342664624,0.642
35,35,0.6414852752880922,0.6437,1.0139230072269367,0.6437
36,36,0.6446862996158771,0.6495,1.0112069820014524,0.6495
37,37,0.6445062419974392,0.6478,1.0098660773718098,0.6478
38,38,0.6518285851472471,0.6492,0.9839257146881729,0.6492
